Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Janeiro,  5 ,  10 ,  30 ,  35 ,  5 ,  5 ,  15 ,  10 ,  10 ,  5 ,  15 ,  -   ,  20 ,  -   
Fevereiro,  25 ,  5 ,  15 ,  10 ,  25 ,  15 ,  5 ,  5 ,  10 ,  10 ,  -   ,  20 ,  -   ,  -   
Março,  5 ,  30 ,  15 ,  20 ,  5 ,  15 ,  15 ,  30 ,  10 ,  15 ,  25 ,  -   ,  5 ,  5 
Abril,  5 ,  20 ,  20 ,  20 ,  15 ,  20 ,  5 ,  10 ,  10 ,  5 ,  -   ,  -   ,  20 ,  -   
Maio,  25 ,  15 ,  25 ,  10 ,  5 ,  -   ,  15 ,  15 ,  10 ,  15 ,  -   ,  10 ,  -   ,  5 
Junho,  8 ,  30 ,  20 ,  -   ,  25 ,  20 ,  5 ,  10 ,  5 ,  5 ,  25 ,  -   ,  5 ,  -   
Julho,  31 ,  20 ,  5 ,  15 ,  10 ,  15 ,  5 ,  20 ,  20 ,  5 ,  -   ,  15 ,  -   ,  5 
Agosto,  -   ,  10 ,  5 ,  20 ,  15 ,  5 ,  15 ,  15 ,  5 ,  15 ,  15 ,  -   ,  -   ,  -   
Setembro,  10 ,  25 ,  20 ,  15 ,  10 ,  20 ,  5 ,  10 ,  10 ,  5 ,  10 ,  -   ,  5 ,  -   
Outubro,  20 ,  10 ,  25 ,  25 ,  20 ,  5 ,  10 ,  20 ,  5 ,  20 ,  10 ,  25 ,  -   ,  5 
Novembro,  15 ,  10 ,  25 ,  10 ,  5 ,  15 ,  5 ,  10 ,  10 ,  -   ,  15 ,  -   ,  5 ,  -   
Dezembro,  16 ,  -   ,  20 ,  25 ,  20 ,  10 ,  10 ,  15 ,  25 ,  10 ,  -   ,  -   ,  5 ,  -   
