Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Janeiro,  210 ,  229 ,  75 ,  139 ,  25 ,  90 ,  45 ,  50 ,  60 ,  30 ,  35 ,  15 ,  30 
Fevereiro,  215 ,  139 ,  258 ,  25 ,  65 ,  95 ,  50 ,  30 ,  53 ,  25 ,  20 ,  5 ,  -   
Março,  180 ,  159 ,  115 ,  182 ,  75 ,  50 ,  50 ,  65 ,  25 ,  55 ,  20 ,  30 ,  -   
Abril,  195 ,  122 ,  159 ,  51 ,  70 ,  105 ,  25 ,  15 ,  25 ,  40 ,  20 ,  10 ,  -   
Maio,  165 ,  221 ,  123 ,  42 ,  180 ,  55 ,  60 ,  40 ,  5 ,  25 ,  30 ,  10 ,  -   
Junho,  220 ,  102 ,  117 ,  41 ,  20 ,  115 ,  25 ,  25 ,  15 ,  15 ,  10 ,  25 ,  -   
Julho,  344 ,  207 ,  166 ,  253 ,  140 ,  70 ,  60 ,  53 ,  30 ,  45 ,  -   ,  25 ,  -   
Agosto,  198 ,  134 ,  105 ,  80 ,  50 ,  50 ,  40 ,  25 ,  20 ,  10 ,  30 ,  10 ,  -   
Setembro,  142 ,  175 ,  82 ,  130 ,  40 ,  15 ,  30 ,  30 ,  20 ,  15 ,  20 ,  10 ,  -   
Outubro,  114 ,  114 ,  87 ,  65 ,  25 ,  80 ,  45 ,  35 ,  20 ,  10 ,  10 ,  10 ,  5 
Novembro,  229 ,  72 ,  82 ,  80 ,  90 ,  10 ,  45 ,  15 ,  25 ,  25 ,  10 ,  25 ,  -   
Dezembro,  102 ,  87 ,  112 ,  20 ,  50 ,  70 ,  25 ,  20 ,  20 ,  20 ,  30 ,  10 ,  -   
