Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  749 ,  712 ,  559 ,  554 ,  409 ,  337 ,  234 ,  86 ,  151 ,  75 ,  50 ,  45 ,  38 ,  25 ,  30 ,  30 ,  49 ,  10 ,  19 ,  15 ,  17 ,  5 ,  5 
Fevereiro,  856 ,  632 ,  529 ,  570 ,  367 ,  431 ,  134 ,  87 ,  71 ,  65 ,  35 ,  45 ,  42 ,  55 ,  40 ,  30 ,  54 ,  18 ,  10 ,  20 ,  15 ,  13 ,  18 
Março,  666 ,  766 ,  521 ,  651 ,  1.144 ,  399 ,  239 ,  113 ,  107 ,  60 ,  65 ,  61 ,  42 ,  25 ,  30 ,  19 ,  30 ,  14 ,  10 ,  7 ,  8 ,  19 ,  15 
Abril,  834 ,  636 ,  594 ,  432 ,  464 ,  235 ,  223 ,  116 ,  44 ,  56 ,  66 ,  35 ,  20 ,  55 ,  40 ,  70 ,  34 ,  15 ,  10 ,  18 ,  3 ,  5 ,  3 
Maio,  916 ,  756 ,  569 ,  583 ,  586 ,  332 ,  253 ,  114 ,  80 ,  70 ,  40 ,  47 ,  15 ,  25 ,  29 ,  -   ,  30 ,  28 ,  14 ,  5 ,  19 ,  10 ,  13 
Junho,  792 ,  702 ,  572 ,  492 ,  285 ,  288 ,  212 ,  105 ,  66 ,  61 ,  50 ,  30 ,  20 ,  35 ,  30 ,  34 ,  29 ,  19 ,  10 ,  9 ,  12 ,  17 ,  5 
Julho,  748 ,  569 ,  703 ,  548 ,  550 ,  263 ,  211 ,  114 ,  96 ,  110 ,  65 ,  30 ,  10 ,  40 ,  44 ,  25 ,  15 ,  13 ,  20 ,  18 ,  10 ,  10 ,
Agosto,  795 ,  632 ,  607 ,  760 ,  662 ,  322 ,  130 ,  156 ,  57 ,  45 ,  40 ,  52 ,  16 ,  45 ,  45 ,  20 ,  38 ,  10 ,  14 ,  8 ,  5 ,  15 ,
Setembro,  686 ,  623 ,  647 ,  529 ,  666 ,  386 ,  143 ,  85 ,  64 ,  67 ,  43 ,  45 ,  10 ,  20 ,  30 ,  29 ,  29 ,  32 ,  10 ,  27 ,  25 ,  5 ,
Outubro,  681 ,  655 ,  709 ,  572 ,  468 ,  271 ,  145 ,  107 ,  65 ,  30 ,  50 ,  50 ,  42 ,  50 ,  79 ,  35 ,  28 ,  10 ,  10 ,  8 ,  8 ,  9 ,
Novembro,  795 ,  562 ,  463 ,  644 ,  519 ,  233 ,  84 ,  122 ,  76 ,  47 ,  42 ,  42 ,  22 ,  40 ,  12 ,  26 ,  10 ,  10 ,  13 ,  13 ,  9 ,  13 ,
Dezembro,  508 ,  466 ,  520 ,  451 ,  294 ,  245 ,  101 ,  143 ,  61 ,  45 ,  30 ,  50 ,  40 ,  30 ,  28 ,  10 ,  47 ,  18 ,  9 ,  5 ,  13 ,  5 ,
