Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.520 ,  1.514 ,  1.134 ,  766 ,  627 ,  540 ,  290 ,  298 ,  243 ,  151 ,  176 ,  183 ,  164 ,  148 ,  132 ,  79 ,  92 ,  86 ,  94 ,  49 ,  52 ,  50 ,  44 
Fevereiro,  1.334 ,  1.416 ,  836 ,  798 ,  580 ,  579 ,  275 ,  267 ,  272 ,  163 ,  190 ,  187 ,  185 ,  127 ,  125 ,  73 ,  84 ,  69 ,  43 ,  64 ,  36 ,  57 ,  24 
Março,  1.247 ,  1.872 ,  860 ,  718 ,  465 ,  604 ,  383 ,  248 ,  220 ,  198 ,  252 ,  129 ,  189 ,  132 ,  104 ,  132 ,  67 ,  105 ,  67 ,  74 ,  66 ,  69 ,  97 
Abril,  1.152 ,  1.002 ,  1.062 ,  403 ,  533 ,  507 ,  263 ,  289 ,  217 ,  192 ,  188 ,  185 ,  171 ,  108 ,  111 ,  58 ,  64 ,  56 ,  60 ,  61 ,  39 ,  47 ,  43 
Maio,  1.265 ,  1.116 ,  1.156 ,  677 ,  486 ,  542 ,  328 ,  281 ,  281 ,  222 ,  229 ,  192 ,  202 ,  115 ,  78 ,  85 ,  93 ,  80 ,  67 ,  58 ,  79 ,  74 ,  68 
Junho,  1.130 ,  1.427 ,  1.365 ,  523 ,  565 ,  484 ,  856 ,  240 ,  230 ,  173 ,  186 ,  206 ,  158 ,  141 ,  89 ,  75 ,  104 ,  59 ,  63 ,  62 ,  73 ,  61 ,  41 
Julho,  1.299 ,  1.467 ,  1.729 ,  576 ,  591 ,  421 ,  325 ,  327 ,  231 ,  222 ,  201 ,  201 ,  146 ,  119 ,  133 ,  71 ,  80 ,  89 ,  71 ,  79 ,  44 ,  86 ,
Agosto,  1.122 ,  1.298 ,  1.446 ,  667 ,  581 ,  425 ,  301 ,  258 ,  213 ,  195 ,  207 ,  154 ,  178 ,  134 ,  100 ,  80 ,  98 ,  87 ,  107 ,  75 ,  75 ,  62 ,
Setembro,  942 ,  1.331 ,  1.097 ,  767 ,  744 ,  314 ,  373 ,  277 ,  246 ,  184 ,  143 ,  184 ,  114 ,  106 ,  81 ,  72 ,  72 ,  71 ,  15 ,  40 ,  70 ,  44 ,
Outubro,  1.047 ,  1.510 ,  1.537 ,  661 ,  557 ,  349 ,  323 ,  306 ,  195 ,  187 ,  174 ,  171 ,  113 ,  117 ,  115 ,  56 ,  43 ,  69 ,  92 ,  58 ,  93 ,  67 ,
Novembro,  1.671 ,  1.139 ,  861 ,  611 ,  642 ,  351 ,  254 ,  281 ,  202 ,  202 ,  218 ,  175 ,  150 ,  137 ,  78 ,  73 ,  72 ,  58 ,  60 ,  56 ,  84 ,  43 ,
Dezembro,  1.016 ,  1.470 ,  723 ,  686 ,  708 ,  307 ,  384 ,  239 ,  244 ,  154 ,  149 ,  134 ,  130 ,  54 ,  69 ,  74 ,  58 ,  45 ,  68 ,  74 ,  87 ,  46 ,
