Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  455 ,  497 ,  494 ,  511 ,  483 ,  394 ,  899 ,  318 ,  253 ,  195 ,  151 ,  192 ,  208 ,  177 ,  175 ,  166 ,  45 ,  130 ,  110 ,  130 ,  74 ,  115 ,  103 
Fevereiro,  510 ,  388 ,  461 ,  468 ,  429 ,  392 ,  560 ,  262 ,  240 ,  259 ,  182 ,  137 ,  220 ,  117 ,  170 ,  139 ,  170 ,  137 ,  120 ,  65 ,  109 ,  119 ,  74 
Março,  512 ,  463 ,  412 ,  322 ,  423 ,  385 ,  901 ,  317 ,  335 ,  218 ,  256 ,  203 ,  184 ,  176 ,  123 ,  120 ,  99 ,  131 ,  90 ,  89 ,  40 ,  59 ,  59 
Abril,  398 ,  485 ,  575 ,  354 ,  355 ,  381 ,  466 ,  200 ,  202 ,  149 ,  223 ,  165 ,  223 ,  224 ,  201 ,  133 ,  131 ,  96 ,  131 ,  64 ,  115 ,  59 ,  45 
Maio,  461 ,  547 ,  490 ,  516 ,  301 ,  653 ,  618 ,  298 ,  247 ,  353 ,  154 ,  224 ,  241 ,  155 ,  134 ,  122 ,  138 ,  125 ,  59 ,  161 ,  54 ,  120 ,  60 
Junho,  621 ,  463 ,  522 ,  341 ,  360 ,  874 ,  1.473 ,  272 ,  290 ,  197 ,  192 ,  124 ,  175 ,  161 ,  97 ,  110 ,  120 ,  67 ,  185 ,  69 ,  60 ,  105 ,  70 
Julho,  783 ,  518 ,  607 ,  516 ,  357 ,  1.017 ,  511 ,  263 ,  279 ,  250 ,  212 ,  199 ,  204 ,  158 ,  230 ,  104 ,  95 ,  111 ,  90 ,  70 ,  105 ,  105 ,
Agosto,  431 ,  534 ,  467 ,  442 ,  371 ,  1.390 ,  479 ,  317 ,  251 ,  214 ,  236 ,  193 ,  187 ,  181 ,  70 ,  120 ,  125 ,  180 ,  125 ,  113 ,  120 ,  70 ,
Setembro,  453 ,  427 ,  481 ,  417 ,  415 ,  1.002 ,  341 ,  221 ,  293 ,  163 ,  125 ,  197 ,  227 ,  188 ,  213 ,  88 ,  50 ,  90 ,  129 ,  75 ,  115 ,  113 ,
Outubro,  546 ,  492 ,  489 ,  361 ,  396 ,  1.119 ,  373 ,  289 ,  270 ,  267 ,  168 ,  169 ,  165 ,  132 ,  95 ,  143 ,  143 ,  125 ,  120 ,  118 ,  65 ,  64 ,
Novembro,  510 ,  402 ,  473 ,  341 ,  518 ,  681 ,  666 ,  267 ,  199 ,  152 ,  211 ,  276 ,  178 ,  173 ,  113 ,  100 ,  85 ,  125 ,  124 ,  74 ,  119 ,  98 ,
Dezembro,  407 ,  410 ,  380 ,  400 ,  414 ,  895 ,  278 ,  201 ,  241 ,  217 ,  161 ,  178 ,  139 ,  110 ,  85 ,  185 ,  136 ,  84 ,  108 ,  95 ,  60 ,  59 ,
