ano_mês,uf,produto,unid,volume,criado_em,ano
2000-01,AC,Gasolina C,m3,3.066,2022-09-10,
2000-02,AC,Gasolina C,m3,3.495,2022-09-10,
2000-03,AC,Gasolina C,m3,2.947,2022-09-10,
2000-04,AC,Gasolina C,m3,3.024,2022-09-10,
2000-05,AC,Gasolina C,m3,3.207,2022-09-10,
2000-06,AC,Gasolina C,m3,3.613,2022-09-10,
2000-07,AC,Gasolina C,m3,3.264,2022-09-10,
2000-08,AC,Gasolina C,m3,3.836,2022-09-10,
2000-09,AC,Gasolina C,m3,3.677,2022-09-10,
2000-10,AC,Gasolina C,m3,3.226,2022-09-10,
2000-11,AC,Gasolina C,m3,3.29,2022-09-10,
2000-12,AC,Gasolina C,m3,3.358,2022-09-10,
2001-01,AC,Gasolina C,m3,3.037,2022-09-10,
2001-02,AC,Gasolina C,m3,2.758,2022-09-10,
2001-03,AC,Gasolina C,m3,3.117,2022-09-10,
2001-04,AC,Gasolina C,m3,3.104,2022-09-10,
2001-05,AC,Gasolina C,m3,3.33,2022-09-10,
2001-06,AC,Gasolina C,m3,3.407,2022-09-10,
2001-07,AC,Gasolina C,m3,3.305,2022-09-10,
2001-08,AC,Gasolina C,m3,3.756,2022-09-10,
2001-09,AC,Gasolina C,m3,3.228,2022-09-10,
2001-10,AC,Gasolina C,m3,3.347,2022-09-10,
2001-11,AC,Gasolina C,m3,3.346,2022-09-10,
2001-12,AC,Gasolina C,m3,3.158,2022-09-10,
2002-01,AC,Gasolina C,m3,3.43,2022-09-10,
2002-02,AC,Gasolina C,m3,3.173,2022-09-10,
2002-03,AC,Gasolina C,m3,3.48,2022-09-10,
2002-04,AC,Gasolina C,m3,3.428,2022-09-10,
2002-05,AC,Gasolina C,m3,3.676,2022-09-10,
2002-06,AC,Gasolina C,m3,3.635,2022-09-10,
2002-07,AC,Gasolina C,m3,3.959,2022-09-10,
2002-08,AC,Gasolina C,m3,4.585,2022-09-10,
2002-09,AC,Gasolina C,m3,4.65,2022-09-10,
2002-10,AC,Gasolina C,m3,4.451,2022-09-10,
2002-11,AC,Gasolina C,m3,3.519,2022-09-10,
2002-12,AC,Gasolina C,m3,3.945,2022-09-10,
2003-01,AC,Gasolina C,m3,3.807,2022-09-10,
2003-02,AC,Gasolina C,m3,2.756,2022-09-10,
2003-03,AC,Gasolina C,m3,2.955,2022-09-10,
2003-04,AC,Gasolina C,m3,3.191,2022-09-10,
2003-05,AC,Gasolina C,m3,3.546,2022-09-10,
2003-06,AC,Gasolina C,m3,3.591,2022-09-10,
2003-07,AC,Gasolina C,m3,4.104,2022-09-10,
2003-08,AC,Gasolina C,m3,3.816,2022-09-10,
2003-09,AC,Gasolina C,m3,3.963,2022-09-10,
2003-10,AC,Gasolina C,m3,3.978,2022-09-10,
2003-11,AC,Gasolina C,m3,3.638,2022-09-10,
2003-12,AC,Gasolina C,m3,4.252,2022-09-10,
2004-01,AC,Gasolina C,m3,3.449,2022-09-10,
2004-02,AC,Gasolina C,m3,3.128,2022-09-10,
2004-03,AC,Gasolina C,m3,3.832,2022-09-10,
2004-04,AC,Gasolina C,m3,4.003,2022-09-10,
2004-05,AC,Gasolina C,m3,3.532,2022-09-10,
2004-06,AC,Gasolina C,m3,3.796,2022-09-10,
2004-07,AC,Gasolina C,m3,4.197,2022-09-10,
2004-08,AC,Gasolina C,m3,4.363,2022-09-10,
2004-09,AC,Gasolina C,m3,4.502,2022-09-10,
2004-10,AC,Gasolina C,m3,4.095,2022-09-10,
2004-11,AC,Gasolina C,m3,3.975,2022-09-10,
2004-12,AC,Gasolina C,m3,4.305,2022-09-10,
2005-01,AC,Gasolina C,m3,3.577,2022-09-10,
2005-02,AC,Gasolina C,m3,3.324,2022-09-10,
