ano_mês,uf,produto,unid,volume,criado_em,ano
2003-01,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-02,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-03,AC,Óleo Combustível,m3,  169 ,2022-09-10,
2003-04,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-05,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-06,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-07,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-08,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-09,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-10,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-11,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2003-12,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-01,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-02,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-03,AC,Óleo Combustível,m3,  395 ,2022-09-10,
2007-04,AC,Óleo Combustível,m3,  91 ,2022-09-10,
2007-05,AC,Óleo Combustível,m3,  216 ,2022-09-10,
2007-06,AC,Óleo Combustível,m3,  120 ,2022-09-10,
2007-07,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-08,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-09,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-10,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-11,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2007-12,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-01,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-02,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-03,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-04,AC,Óleo Combustível,m3,  0 ,2022-09-10,
2008-05,AC,Óleo Combustível,m3,  0 ,2022-09-10,
2008-06,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-07,AC,Óleo Combustível,m3,  0 ,2022-09-10,
2008-08,AC,Óleo Combustível,m3,  28 ,2022-09-10,
2008-09,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-10,AC,Óleo Combustível,m3,  0 ,2022-09-10,
2008-11,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2008-12,AC,Óleo Combustível,m3,  0 ,2022-09-10,
2010-01,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-02,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-03,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-04,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-05,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-06,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-07,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-08,AC,Óleo Combustível,m3,  104 ,2022-09-10,
2010-09,AC,Óleo Combustível,m3,  29 ,2022-09-10,
2010-10,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-11,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2010-12,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-01,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-02,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-03,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-04,AC,Óleo Combustível,m3,  100 ,2022-09-10,
2012-05,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-06,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-07,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-08,AC,Óleo Combustível,m3,  136 ,2022-09-10,
2012-09,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-10,AC,Óleo Combustível,m3,  82 ,2022-09-10,
2012-11,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2012-12,AC,Óleo Combustível,m3,  NaN   ,2022-09-10,
2000-01,AL,Óleo Combustível,m3,525,2022-09-10,
2000-02,AL,Óleo Combustível,m3,496,2022-09-10,
2000-03,AL,Óleo Combustível,m3,616,2022-09-10,
2000-04,AL,Óleo Combustível,m3,623,2022-09-10,
2000-05,AL,Óleo Combustível,m3,638,2022-09-10,
2000-06,AL,Óleo Combustível,m3,532,2022-09-10,
2000-07,AL,Óleo Combustível,m3,593,2022-09-10,
2000-08,AL,Óleo Combustível,m3,589,2022-09-10,
2000-09,AL,Óleo Combustível,m3,505,2022-09-10,
2000-10,AL,Óleo Combustível,m3,423,2022-09-10,
2000-11,AL,Óleo Combustível,m3,491,2022-09-10,
2000-12,AL,Óleo Combustível,m3,391,2022-09-10,
2001-01,AL,Óleo Combustível,m3,488,2022-09-10,
2001-02,AL,Óleo Combustível,m3,361,2022-09-10,
2001-03,AL,Óleo Combustível,m3,444,2022-09-10,
2001-04,AL,Óleo Combustível,m3,447,2022-09-10,
2001-05,AL,Óleo Combustível,m3,463,2022-09-10,
