ano_mês,uf,produto,unid,volume,criado_em,ano
2000-01,AC,Óleo Diesel,m3,18.025,2022-09-11,
2000-02,AC,Óleo Diesel,m3,18.336,2022-09-11,
2000-03,AC,Óleo Diesel,m3,16.654,2022-09-11,
2000-04,AC,Óleo Diesel,m3,15.146,2022-09-11,
2000-05,AC,Óleo Diesel,m3,18.681,2022-09-11,
2000-06,AC,Óleo Diesel,m3,17.949,2022-09-11,
2000-07,AC,Óleo Diesel,m3,17.466,2022-09-11,
2000-08,AC,Óleo Diesel,m3,19.174,2022-09-11,
2000-09,AC,Óleo Diesel,m3,19.505,2022-09-11,
2000-10,AC,Óleo Diesel,m3,19.96,2022-09-11,
2000-11,AC,Óleo Diesel,m3,19.349,2022-09-11,
2000-12,AC,Óleo Diesel,m3,18.796,2022-09-11,
2001-01,AC,Óleo Diesel,m3,20.061,2022-09-11,
2001-02,AC,Óleo Diesel,m3,16.449,2022-09-11,
2001-03,AC,Óleo Diesel,m3,20.859,2022-09-11,
2001-04,AC,Óleo Diesel,m3,17.388,2022-09-11,
2001-05,AC,Óleo Diesel,m3,20.052,2022-09-11,
2001-06,AC,Óleo Diesel,m3,18.046,2022-09-11,
2001-07,AC,Óleo Diesel,m3,19.756,2022-09-11,
2001-08,AC,Óleo Diesel,m3,21.717,2022-09-11,
2001-09,AC,Óleo Diesel,m3,19.918,2022-09-11,
2001-10,AC,Óleo Diesel,m3,21.209,2022-09-11,
2001-11,AC,Óleo Diesel,m3,20.826,2022-09-11,
2001-12,AC,Óleo Diesel,m3,17.373,2022-09-11,
2002-01,AC,Óleo Diesel,m3,17.206,2022-09-11,
2002-02,AC,Óleo Diesel,m3,17.532,2022-09-11,
2002-03,AC,Óleo Diesel,m3,20.922,2022-09-11,
2002-04,AC,Óleo Diesel,m3,17.568,2022-09-11,
2002-05,AC,Óleo Diesel,m3,18.1,2022-09-11,
2002-06,AC,Óleo Diesel,m3,18.127,2022-09-11,
2002-07,AC,Óleo Diesel,m3,19.541,2022-09-11,
2002-08,AC,Óleo Diesel,m3,22.026,2022-09-11,
2002-09,AC,Óleo Diesel,m3,21.953,2022-09-11,
2002-10,AC,Óleo Diesel,m3,20.736,2022-09-11,
2002-11,AC,Óleo Diesel,m3,20.072,2022-09-11,
2002-12,AC,Óleo Diesel,m3,18.238,2022-09-11,
2003-01,AC,Óleo Diesel,m3,22.258,2022-09-11,
2003-02,AC,Óleo Diesel,m3,15.974,2022-09-11,
2003-03,AC,Óleo Diesel,m3,18.934,2022-09-11,
2003-04,AC,Óleo Diesel,m3,12.995,2022-09-11,
2003-05,AC,Óleo Diesel,m3,14.315,2022-09-11,
2003-06,AC,Óleo Diesel,m3,14.376,2022-09-11,
2003-07,AC,Óleo Diesel,m3,16.452,2022-09-11,
2003-08,AC,Óleo Diesel,m3,14.314,2022-09-11,
2003-09,AC,Óleo Diesel,m3,14.907,2022-09-11,
