uf,product,volume
AC,ETANOL HIDRATADO,248258.66980909999
AC,GASOLINA C,2482833.039676
AC,GASOLINA DE AVIAÇÃO,22515.754593387
AC,GLP,905084.8095346
AC,QUEROSENE DE AVIAÇÃO,407691.934
AC,QUEROSENE ILUMINANTE,797.818
AC,ÓLEO COMBUSTÍVEL,1471.045601428
AC,ÓLEO DIESEL,5189775.812255
AL,ETANOL HIDRATADO,1919089.283268
AL,GASOLINA C,8024207.1626
AL,GASOLINA DE AVIAÇÃO,5889.572582794
AL,GLP,4877176.70647
AL,QUEROSENE DE AVIAÇÃO,1060592.974
AL,QUEROSENE ILUMINANTE,8769.334
AL,ÓLEO COMBUSTÍVEL,179739.49905388
AL,ÓLEO DIESEL,10584138.75478
AM,ETANOL HIDRATADO,1670648.901171
AM,GASOLINA C,12478248.37711
AM,GASOLINA DE AVIAÇÃO,46503.30361005
AM,GLP,4680480.045193
AM,QUEROSENE DE AVIAÇÃO,4981851.687
AM,QUEROSENE ILUMINANTE,58870.37070549
AM,ÓLEO COMBUSTÍVEL,11435770.1526429
AM,ÓLEO DIESEL,26235403.19731
AP,ETANOL HIDRATADO,117891.21326944
AP,GASOLINA C,2868884.011382
AP,GASOLINA DE AVIAÇÃO,11619.675700728
AP,GLP,815801.406352
AP,QUEROSENE DE AVIAÇÃO,122610.986
AP,QUEROSENE ILUMINANTE,160.65200000000002
AP,ÓLEO COMBUSTÍVEL,1272.153081637
AP,ÓLEO DIESEL,5979545.199301
BA,ETANOL HIDRATADO,9602968.345919
BA,GASOLINA C,40821673.54732
BA,GASOLINA DE AVIAÇÃO,70208.1665207
BA,GLP,25336652.51702
BA,QUEROSENE DE AVIAÇÃO,7598882.524
BA,QUEROSENE ILUMINANTE,175512.826748837
BA,ÓLEO COMBUSTÍVEL,17518234.64438
BA,ÓLEO DIESEL,76286899.8227
CE,ETANOL HIDRATADO,4096790.916367
CE,GASOLINA C,24325962.27303
CE,GASOLINA DE AVIAÇÃO,21291.60086717
CE,GLP,13120983.06456
CE,QUEROSENE DE AVIAÇÃO,4481639.499
CE,QUEROSENE ILUMINANTE,94330.75623807
