uf,product,volume
AC,ÓLEO DIESEL,5189775.812255
AL,ÓLEO DIESEL,10584138.75478
AM,ÓLEO DIESEL,26235403.19731
AP,ÓLEO DIESEL,5979545.199301
BA,ÓLEO DIESEL,76286899.8227
CE,ÓLEO DIESEL,23808443.42692
DF,ÓLEO DIESEL,11209897.55332
ES,ÓLEO DIESEL,28131923.68477
GO,ÓLEO DIESEL,63223205.3907
MA,ÓLEO DIESEL,28894762.62983
MG,ÓLEO DIESEL,177706614.6594
MS,ÓLEO DIESEL,36186127.46612
MT,ÓLEO DIESEL,65858611.6281
PA,ÓLEO DIESEL,50300803.35408
PB,ÓLEO DIESEL,11180047.44307
PE,ÓLEO DIESEL,33912254.53922
PI,ÓLEO DIESEL,11728568.86566
PR,ÓLEO DIESEL,128833679.6859
RJ,ÓLEO DIESEL,73377706.8168
RN,ÓLEO DIESEL,12090301.06561
RO,ÓLEO DIESEL,21923822.97879
RR,ÓLEO DIESEL,4559391.267973
RS,ÓLEO DIESEL,93598085.9633
SC,ÓLEO DIESEL,61620260.819
SE,ÓLEO DIESEL,8779732.44465
SP,ÓLEO DIESEL,324244867.3509
TO,ÓLEO DIESEL,19266739.0426
